barcode,name,price,category
5901234123457,Organic Whole Milk 1L,4.99,Dairy
5901234123464,Sourdough Bread Loaf,5.49,Bakery
5901234123471,Free Range Eggs 12pk,7.99,Dairy
5901234123488,Greek Yogurt 500g,6.29,Dairy
5901234123495,Aged Cheddar 200g,8.99,Dairy
5901234123501,Roasted Coffee Beans 250g,14.99,Beverages
5901234123518,Green Tea Bags 40pk,4.79,Beverages
5901234123525,Sparkling Water 1.5L,2.49,Beverages
5901234123532,Orange Juice 1L,5.49,Beverages
5901234123549,Almond Milk 1L,4.49,Dairy
5901234123556,Pasta 500g,2.99,Dry Goods
5901234123563,Basmati Rice 1kg,6.99,Dry Goods
5901234123570,Extra Virgin Olive Oil 750ml,12.99,Oils
5901234123587,Balsamic Vinegar 250ml,7.49,Oils
5901234123594,Canned Tomatoes 400g,2.29,Canned Goods
5901234123600,Chickpeas 400g,1.99,Canned Goods
5901234123617,Tuna in Olive Oil 150g,4.49,Canned Goods
5901234123624,Peanut Butter 340g,5.99,Spreads
5901234123631,Strawberry Jam 350g,4.79,Spreads
5901234123648,Dark Chocolate 100g,3.99,Snacks
5901234123655,Potato Chips 150g,3.49,Snacks
5901234123662,Granola 400g,6.49,Snacks
5901234123679,Multigrain Crackers 200g,3.99,Snacks
5901234123686,Frozen Blueberries 300g,5.99,Frozen
5901234123693,Frozen Pizza 400g,8.49,Frozen
5901234123709,Vanilla Ice Cream 500ml,6.99,Frozen
5901234123716,Dish Soap 500ml,3.79,Household
5901234123723,All-Purpose Cleaner 750ml,4.49,Household
5901234123730,Paper Towels 6pk,6.99,Household
5901234123747,Toilet Paper 12pk,12.99,Household
5901234123754,Hand Soap 250ml,3.29,Personal Care
5901234123761,Shampoo 400ml,7.99,Personal Care
5901234123778,Toothpaste 100ml,4.99,Personal Care
5901234123785,Deodorant 50ml,5.49,Personal Care
5901234123792,Dog Food 2kg,12.99,Pet Supplies
5901234123808,Cat Litter 5kg,9.99,Pet Supplies
5901234123815,Baby Diapers 30pk,18.99,Baby
5901234123822,Baby Wipes 80pk,4.99,Baby
5901234123839,Sunflower Seeds 200g,2.99,Snacks
5901234123846,Dried Apricots 250g,4.49,Dry Goods
5901234123853,Almonds 200g,6.99,Dry Goods
5901234123860,Quinoa 500g,5.99,Dry Goods
5901234123877,Coconut Water 1L,4.29,Beverages
5901234123884,Protein Bar 60g,3.49,Snacks
5901234123891,Salsa 300g,4.29,Sauces
5901234123907,Pasta Sauce 400g,5.49,Sauces
5901234123914,Soy Sauce 250ml,3.99,Sauces
5901234123921,Honey 250g,7.99,Spreads
5901234123938,Mixed Nuts 200g,5.99,Snacks
5901234123945,Dried Pasta 500g,2.49,Dry Goods
